Family,Train Count,Test Count,Train Percentage,Test Percentage
GOE,322,74,81.31%,18.69%
E,146,43,77.25%,22.75%
NACA,124,24,83.78%,16.22%
FX,89,19,82.41%,17.59%
S,57,11,83.82%,16.18%
MH,42,8,84.00%,16.00%
HQ,33,11,75.00%,25.00%
AH,28,11,71.79%,28.21%
AG,25,4,86.21%,13.79%
M,22,5,81.48%,18.52%
SC,21,5,80.77%,19.23%
USA,18,8,69.23%,30.77%
SD,16,1,94.12%,5.88%
RAF,14,4,77.78%,22.22%
RG,11,1,91.67%,8.33%
B,11,1,91.67%,8.33%
C,10,1,90.91%,9.09%
RC,9,2,81.82%,18.18%
CLARK,9,2,81.82%,18.18%
RAE,8,3,72.73%,27.27%
EH,6,3,66.67%,33.33%
HS,6,0,100.00%,0.00%
VR,6,6,50.00%,50.00%
SG,6,0,100.00%,0.00%
LS,6,1,85.71%,14.29%
LWK,5,0,100.00%,0.00%
V,5,0,100.00%,0.00%
SA,4,2,66.67%,33.33%
HOR,4,0,100.00%,0.00%
HT,4,1,80.00%,20.00%
RHODESG,4,0,100.00%,0.00%
R,4,2,66.67%,33.33%
KC,4,1,80.00%,20.00%
MARSKE,4,2,66.67%,33.33%
EIFFEL,4,1,80.00%,20.00%
DAE,4,0,100.00%,0.00%
OA,4,0,100.00%,0.00%
NPL,4,1,80.00%,20.00%
UA,4,1,80.00%,20.00%
COANDA,3,0,100.00%,0.00%
A,3,0,100.00%,0.00%
YS,3,0,100.00%,0.00%
NLF,3,3,50.00%,50.00%
DEFCND,3,0,100.00%,0.00%
ARAD,3,1,75.00%,25.00%
LA,3,0,100.00%,0.00%
P,3,1,75.00%,25.00%
EA,3,0,100.00%,0.00%
STCYR,3,1,75.00%,25.00%
AS,3,0,100.00%,0.00%
DGA,2,0,100.00%,0.00%
AMES,2,1,66.67%,33.33%
AMSOIL,2,0,100.00%,0.00%
BE,2,0,100.00%,0.00%
K,2,3,40.00%,60.00%
LRN,2,0,100.00%,0.00%
ISA,2,2,50.00%,50.00%
MA,2,0,100.00%,0.00%
DU,2,1,66.67%,33.33%
SSCA,2,0,100.00%,0.00%
SUPERMARINE,2,0,100.00%,0.00%
DSMA,2,0,100.00%,0.00%
DF,2,0,100.00%,0.00%
NL,2,0,100.00%,0.00%
OAF,2,3,40.00%,60.00%
NLR,2,0,100.00%,0.00%
TEMPEST,2,1,66.67%,33.33%
WB,2,0,100.00%,0.00%
PSU,2,0,100.00%,0.00%
TSAGI,2,0,100.00%,0.00%
GEMINISM,1,0,100.00%,0.00%
GIIIA,1,0,100.00%,0.00%
TH,1,0,100.00%,0.00%
STF,1,0,100.00%,0.00%
PFCM,1,0,100.00%,0.00%
RCSC,1,0,100.00%,0.00%
SPICASM,1,0,100.00%,0.00%
CAST,1,0,100.00%,0.00%
BAMBINO,1,0,100.00%,0.00%
BACXXX,1,0,100.00%,0.00%
CAP,1,0,100.00%,0.00%
BQM,1,0,100.00%,0.00%
DAYTONWRIGHTT,1,0,100.00%,0.00%
DBLN,1,0,100.00%,0.00%
ATR,1,0,100.00%,0.00%
AUGUST,1,0,100.00%,0.00%
AVISTAR,1,0,100.00%,0.00%
BOE,1,1,50.00%,50.00%
AQUILASM,1,0,100.00%,0.00%
BW,1,0,100.00%,0.00%
BACJ,1,0,100.00%,0.00%
DFVLRR,1,0,100.00%,0.00%
CURTISC,1,0,100.00%,0.00%
DAVIS,2,0,100.00%,0.00%
CR,1,1,50.00%,50.00%
DAYTONWRIGHT,1,0,100.00%,0.00%
DOA,1,0,100.00%,0.00%
DH,1,0,100.00%,0.00%
COOTIE,1,0,100.00%,0.00%
GIIII,1,0,100.00%,0.00%
FXL,1,0,100.00%,0.00%
FALCON,1,0,100.00%,0.00%
FAUVEL,1,0,100.00%,0.00%
FG,1,3,25.00%,75.00%
FXS,1,2,33.33%,66.67%
GIIIB,1,0,100.00%,0.00%
ESA,1,0,100.00%,0.00%
EC,1,0,100.00%,0.00%
WHITCOMB,1,0,100.00%,0.00%
ULTIMATE,1,0,100.00%,0.00%
UI,1,0,100.00%,0.00%
UAG,1,0,100.00%,0.00%
SM,1,0,100.00%,0.00%
SARATOV,1,0,100.00%,0.00%
SOKOLOV,1,0,100.00%,0.00%
STE,1,1,50.00%,50.00%
MUE,1,0,100.00%,0.00%
HOBIE,1,0,100.00%,0.00%
HH,1,0,100.00%,0.00%
GS,1,0,100.00%,0.00%
HOBIESM,1,0,100.00%,0.00%
LDS,1,0,100.00%,0.00%
MARSDEN,1,0,100.00%,0.00%
GRIFFITH,1,0,100.00%,0.00%
GIIIJ,1,0,100.00%,0.00%
GIIIK,1,0,100.00%,0.00%
GIIIC,1,0,100.00%,0.00%
GIIID,1,0,100.00%,0.00%
GIIIE,1,0,100.00%,0.00%
GIIIF,1,0,100.00%,0.00%
GIIIG,1,0,100.00%,0.00%
GIIIN,1,0,100.00%,0.00%
GIIIM,1,0,100.00%,0.00%
GLENNMARTIN,1,2,33.33%,66.67%
GIIIL,1,0,100.00%,0.00%
KENMAR,1,0,100.00%,0.00%
L,1,3,25.00%,75.00%
JOUKOWSK,1,0,100.00%,0.00%
GM,1,0,100.00%,0.00%
USNPS,1,0,100.00%,0.00%
MB,1,0,100.00%,0.00%
MILEY,1,0,100.00%,0.00%
MRC,1,1,50.00%,50.00%
NN,1,0,100.00%,0.00%
PT,1,0,100.00%,0.00%
PMC,1,0,100.00%,0.00%
TRAINER,1,0,100.00%,0.00%
DRGNFLY,0,1,0.00%,100.00%
DORMOY,0,1,0.00%,100.00%
CH,0,1,0.00%,100.00%
CHEN,0,1,0.00%,100.00%
BACNLF,0,1,0.00%,100.00%
APEX,0,1,0.00%,100.00%
FXLV,0,1,0.00%,100.00%
LNV,0,1,0.00%,100.00%
LG,0,1,0.00%,100.00%
J,0,1,0.00%,100.00%
JN,0,1,0.00%,100.00%
GU,0,1,0.00%,100.00%
HSNLF,0,1,0.00%,100.00%
EBAMBINO,0,1,0.00%,100.00%
GIIIH,0,1,0.00%,100.00%
FXM,0,1,0.00%,100.00%
MS,0,2,0.00%,100.00%
NCAMBRE,0,1,0.00%,100.00%
NASASC,0,1,0.00%,100.00%
NPLX,0,1,0.00%,100.00%
STRAND,0,1,0.00%,100.00%
US,0,1,0.00%,100.00%
WASPSM,0,1,0.00%,100.00%
